abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,google_places_id,google_formatted_name,google_phone,google_website,google_formatted_addr,google_primary_type,google_types,google_rating,google_rating_count,updated_at
80083198529,Advanced Precast (Aust),Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,083198529,ADVANCED PRECAST (NSW) PTY LTD,"","","",https://semma.com.au/directory/page/2/,places/ChIJVS-rVkcS1moRhx93PQZnF80,Advanced Precast.,+61 3 9706 5111,https://advprecast.com.au/,"45 Bangholme Rd, Bangholme VIC 3175, Australia",manufacturer,"manufacturer,point_of_interest,establishment",5.0,2,2026-03-10 02:14:56.784554
25005092704,Nissan Casting Australia Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3175,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,005092704,NISSAN CASTING AUSTRALIA PTY LTD,"","","",https://semma.com.au/directory/page/2/,places/ChIJw0klRNAT1moRTGR2gGTsnOs,Nissan Casting Australia Pty Ltd,+61 1800 035 035,http://www.nissan.com.au/,"209-235 Frankston - Dandenong Rd, Dandenong South VIC 3175, Australia",manufacturer,"manufacturer,car_dealer,point_of_interest,store,establishment",4.6,65,2026-03-10 02:15:24.749982
51005200966,Redline Engineering,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,005200966,REDLINE ENGINEERING PROPRIETARY LIMITED,"","","",https://semma.com.au/directory/page/2/,places/ChIJX-Go_gFt1moR_qq8SLE4QvY,Redline Engineering,+61 3 9580 0288,https://redline.com.au/,"27 Hinkler Rd, Mordialloc VIC 3195, Australia",manufacturer,"manufacturer,point_of_interest,establishment",4.3,6,2026-03-10 02:15:37.896063
72073186008,SOFTWARE PLACE PTY. LIMITED,"",Australian Private Company,Active,ABR-Search,NSW,2763,1999-11-01 00:00:00,26,true,2008-06-16 00:00:00,true,073186008,SOFTWARE PLACE PTY. LIMITED,"","","","",places/ChIJF98RukauEmsRQQ9UXQSao3E,SoftwareOne Australia,+61 3 8799 2453,https://www.softwareone.com/en-au/,"16/65 Berry St, North Sydney NSW 2060, Australia",point_of_interest,"point_of_interest,establishment",4.7,7,2026-03-10 02:17:19.469269
81088382923,Software Time,"",Australian Private Company,Active,ABR-Search,NSW,2007,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,088382923,ONLINE RETAIL GROUP PTY LTD,"","","","",places/ChIJmw-fGS-uEmsR1J1wFx6Sxfs,Software Time,"",http://www.softwaretime.com.au/,"119/330 Wattle St, Ultimo NSW 2007, Australia",corporate_office,"corporate_office,point_of_interest,establishment",5.0,1,2026-03-10 02:17:48.159356
93083004906,F1 SOFTWARE PTY LTD,"",Australian Private Company,Active,ABR-Search,VIC,3180,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,083004906,F1 SOFTWARE PTY LTD,"","","","",places/ChIJDbnFXPdG1moRuxlorZK2VfM,F1 IT Group,+61 3 9850 5355,http://www.f1it.com.au/,"801 Glenferrie Rd, Hawthorn VIC 3122, Australia",consultant,"consultant,point_of_interest,service,establishment",5.0,4,2026-03-10 02:18:11.812132
47087888319,SOFTWARE 4 HIRE PTY LTD,"",Australian Private Company,Active,ABR-Search,NSW,2066,1999-11-01 00:00:00,26,true,2009-04-01 00:00:00,true,087888319,SOFTWARE 4 HIRE PTY LTD,"","","","",places/ChIJ5Xuo_jLzEmsRxLOlox3y3qY,Ride Solutions PTY LTD,+61 449 596 147,"","Unit 402/02 Fordham Way, Oran Park NSW 2570, Australia",transportation_service,"transportation_service,point_of_interest,establishment",5.0,19,2026-03-10 02:18:28.815365
92089018806,AUTOMATION DESIGN PTY LTD,"",Australian Private Company,Active,ABR-Search,NSW,2681,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,089018806,AUTOMATION DESIGN PTY LTD,"","","","",places/ChIJeZQcglCVEmsRDrOodVVfEko,CNC Design Pty Ltd,+61 2 9737 8259,http://www.cncdesign.com.au/,"22/457 Victoria St, Wetherill Park NSW 2164, Australia",consultant,"consultant,manufacturer,point_of_interest,service,establishment",0.0,0,2026-03-10 02:19:14.128915
99076010583,Embedded Network Manager,"",Australian Private Company,Active,ABR-Search,VIC,3149,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,076010583,MARDEN ENERGY PTY LTD,"","","","",places/ChIJD4hW1xVB1moRPjkwMRY5ajQ,ENM Solutions,+61 1300 000 366,https://www.enmsolutions.com.au/,"Suite 120/1 Queens Rd, Melbourne VIC 3004, Australia",service,"service,point_of_interest,establishment",5.0,10,2026-03-10 02:21:29.63821
33089992647,REAL TIME & EMBEDDED SYSTEMS PTY LTD,"",Australian Private Company,Active,ABR-Search,VIC,3931,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,089992647,REAL TIME & EMBEDDED SYSTEMS PTY LTD,"","","","",places/ChIJ9QL4SnRG1moR8mj0hATxsO0,Embedded Technologies,+61 1300 780 015,http://www.ete.com.au/,"279 Dundas St, Preston VIC 3072, Australia",supplier,"supplier,manufacturer,point_of_interest,establishment",0.0,0,2026-03-10 02:21:48.783056
55082604617,BARCODE LOGIC PTY LIMITED,"",Australian Private Company,Active,ABR-Search,NSW,2262,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,082604617,BARCODE LOGIC PTY LIMITED,"","","","",places/ChIJ2bJrMaZKDWsRrx0VcLHpuYQ,"Barcode Logic - Barcoding, Tracking and Monitoring",+61 2 4391 0148,https://barcodelogic.com.au/shop/,"60C Tenth Ave, Budgewoi NSW 2262, Australia",point_of_interest,"point_of_interest,establishment",3.5,2,2026-03-10 02:29:19.202213
46082400888,Corporate Financial Consulting Services Pty Ltd,General,Australian Private Company,Active,HobsonsBay,VIC,3016,1999-11-01 00:00:00,26,true,2018-07-01 00:00:00,true,082400888,CORPORATE FINANCIAL CONSULTING SERVICES PTY LTD,"","","",https://www.hobsonsbaybusiness.com.au/Business-Directory-Menu?dlv_OC%20CL%20Invest%20Business%20Directory%20Listing=(pageindex=7),places/ChIJtVxCkK5q1moRjuMvxFjstMY,Corporate Finance (Aust) Pty Ltd,+61 3 9558 6355,http://www.corporatefinance.com.au/,"Unit 1/10 Business Park Dr, Notting Hill VIC 3168, Australia",consultant,"consultant,point_of_interest,finance,service,establishment",5.0,10,2026-03-10 02:30:45.785306
60542351573,Louis Joel Arts & Community | Louis Joel Gallery,General,Co-operative,Active,HobsonsBay,VIC,3018,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,"",HOBSONS BAY COMMUNITY ADVANCEMENT CO-OPERATIVE LTD,"","","",https://www.hobsonsbaybusiness.com.au/Business-Directory-Menu?dlv_OC%20CL%20Invest%20Business%20Directory%20Listing=(pageindex=14),places/ChIJZ3XAqTJi1moROsNji4oj6oA,Louis Joel Arts & Community | Gallery & Ceramic Studio,+61 3 9398 2511,https://www.ljac.com.au/,"5 Sargood St, Altona VIC 3018, Australia",community_center,"community_center,art_gallery,wholesaler,event_venue,service,point_of_interest,establishment",4.7,67,2026-03-10 02:31:54.400004
37067391511,Millers Inn,General,Australian Private Company,Active,HobsonsBay,NSW,2000,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,067391511,AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LIMITED,"","","",https://www.hobsonsbaybusiness.com.au/Business-Directory-Menu?dlv_OC%20CL%20Invest%20Business%20Directory%20Listing=(pageindex=16),places/ChIJwVOybBlh1moR2lyIRAUbFvg,Millers Inn,+61 3 9391 3555,https://www.millersinn.com.au/,"204 Millers Rd, Altona North VIC 3025, Australia",pub,"pub,sports_bar,bistro,liquor_store,bar,restaurant,point_of_interest,food,store,establishment",4.3,1237,2026-03-10 02:32:08.694936
37008145275,Simmers Serviced Apartment,General,Australian Private Company,Active,HobsonsBay,SA,5000,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,008145275,SERVICED APARTMENTS PTY LTD,"","","",https://www.hobsonsbaybusiness.com.au/Business-Directory-Menu?dlv_OC%20CL%20Invest%20Business%20Directory%20Listing=(pageindex=21),places/ChIJHzmNLOlm1moR3L_qVy91wbE,Simmers Serviced Apartments,+61 3 9397 6234,http://www.simmers.com.au/,"21 Ferguson St, Williamstown VIC 3016, Australia",lodging,"lodging,point_of_interest,establishment",4.8,28,2026-03-10 02:33:04.840003
73089101271,Advanced Business Manager,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,VIC,3032,1999-11-01 00:00:00,26,true,2009-09-01 00:00:00,true,089101271,ADVANCED BUSINESS MANAGER PTY LTD,"","",https://www.advancedbusinessmanager.com/australian-rail-freight-continues-to-grow/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,places/ChIJYVtbMWlH1moRJFpMY79XPhk,Advanced Business Manager Pty Ltd.,+61 3 9848 2389,http://advancedbusinessmanager.com.au/,"13/1020 Doncaster Rd, Doncaster East VIC 3109, Australia",consultant,"consultant,finance,point_of_interest,service,establishment",0.0,0,2026-03-12 21:16:32.769882
72004108365,Labelhouse,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2049,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,004108365,LABELHOUSE PTY. LTD.,"","",https://labelhousevic.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,places/ChIJm077uTy5EmsRiEi5G2P6YJM,Assta Label House | Label Printing Sydney,+61 2 9533 3644,http://assta.com.au/,"16-18 Norman St, Peakhurst NSW 2210, Australia",service,"point_of_interest,service,establishment",5.0,3,2026-03-12 21:17:15.160453
62000768776,Linde Material Handling,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2148,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,000768776,LINDE MATERIAL HANDLING PTY LIMITED,"","",https://lindemh.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,places/ChIJR8WUER-ZEmsROetJMKuF7dk,Linde Material Handling,+61 1300 454 633,https://lindemh.com.au/,"5 Distillers Pl, Huntingwood NSW 2148, Australia",supplier,"supplier,point_of_interest,store,manufacturer,establishment",5.0,4,2026-03-12 21:17:17.263081
32090665277,ReWaste - Organics Recycling Service,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2032,1999-11-01 00:00:00,26,true,2014-04-01 00:00:00,true,090665277,ENVIRO FRIENDLY ENTERPRISES PTY LTD,"","",https://www.rewaste.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,places/ChIJ7WTUN66TEmsR3bIdBHqtLJA,Resource Enviro Solutions,+61 1300 101 502,https://resource-enviro.com.au/,"16-23 Clifton Ave, Kemps Creek NSW 2178, Australia",service,"point_of_interest,service,establishment",5.0,1,2026-03-12 21:17:49.024919
17088259910,Benson Machines Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2144,1999-12-01 00:00:00,26,true,2000-07-01 00:00:00,true,088259910,BENSON-MFI PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJZ5KqB1CjEmsR_LqrsBD-eNE,Benson Machines,+61 1800 687 898,http://www.bensonmachines.com/,"348 Chisholm Rd, Auburn NSW 2144, Australia",manufacturer,"manufacturer,point_of_interest,establishment",5.0,1,2026-03-10 02:08:04.640083
30090139503,SOFTWARE AG AUSTRALIA PTY LTD,"",Australian Private Company,Active,ABR-Search,NSW,2000,1999-12-01 00:00:00,26,true,2000-07-01 00:00:00,true,090139503,SOFTWARE AG AUSTRALIA PTY LTD,"","","","",places/ChIJ36eTmfauEmsRdDujH0yKA_k,Software AG Australia,+61 2 9071 5600,http://www.softwareag.com/au/,"Level 11/10 Carrington St, Sydney NSW 2000, Australia",point_of_interest,"point_of_interest,establishment",3.7,3,2026-03-10 02:18:30.039526
51088110169,McKinna Group,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,1999-12-10 00:00:00,26,true,2000-07-01 00:00:00,true,088110169,MCKINNA SHEETMETAL PTY LTD,"","","",https://semma.com.au/directory/,places/ChIJXTP2gBht1moRCv1lK50fCjc,McKinna Group,+61 3 9580 4440,https://www.mckinnagroup.com.au/,"116 Malcolm Rd, Braeside VIC 3195, Australia",building_materials_store,"building_materials_store,supplier,store,manufacturer,service,point_of_interest,establishment",4.5,19,2026-03-10 02:14:29.876222
89008171855,Dixon Industries Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,SA,5014,1999-12-15 00:00:00,26,true,2000-07-01 00:00:00,true,008171855,DIXON INDUSTRIES PTY. LTD.,"","","",https://amtil.com.au/directory/,places/ChIJM30PtZDGsGoRS7LH461aaK4,Dixon Industries Pty Ltd,+61 8 8240 1555,https://dixonind.com.au/,"17 Frederick Rd, Royal Park SA 5014, Australia",manufacturer,"manufacturer,building_materials_store,supplier,food,point_of_interest,service,store,establishment",5.0,3,2026-03-10 02:09:00.219708
28050198895,KAESER Compressors Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3175,1999-12-15 00:00:00,26,true,2000-07-01 00:00:00,true,050198895,KAESER COMPRESSORS AUSTRALIA PTY. LIMITED,"","","",https://amtil.com.au/directory/,places/ChIJ3a1-GdoT1moRFP5A21d-gL4,KAESER Compressors Australia Pty Ltd.,+61 3 9791 5999,https://au.kaeser.com/services/air-compressor-sales-and-service-in-melbourne-vic.aspx,"45 Zenith Rd, Dandenong South VIC 3175, Australia",manufacturer,"manufacturer,supplier,point_of_interest,service,establishment",4.8,61,2026-03-10 02:10:24.67806
95064086193,PMG Engineering Services Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,1999-12-17 00:00:00,26,true,2000-07-01 00:00:00,true,064086193,P.M.G. ENGINEERING SERVICES PTY. LTD.,"","","",https://semma.com.au/directory/,places/ChIJabU9nxdt1moR86wxAna2Sw4,PMG Engineering Group Pty Ltd,+61 3 9580 0455,https://pmgeng.com.au/,"37 MacBeth St, Braeside VIC 3195, Australia",manufacturer,"manufacturer,point_of_interest,establishment",4.8,25,2026-03-10 02:14:24.048174
15091031677,Copamate Products,Manufacturing,Australian Private Company,Active,"NorthLink-MfgPartner,AMTIL",VIC,3061,2000-01-01 00:00:00,26,true,2000-07-01 00:00:00,true,091031677,COP-A-MATE PRODUCTS PTY LTD,"","","",https://northlink.org.au/melbournes-north-advanced-manufacturing-group/partner-directory/,places/ChIJBVW1nN9F1moRDnnKNQEdn-A,Copamate,+61 3 9459 3644,https://copamate.com/,"153 Northbourne Rd, Campbellfield VIC 3061, Australia",manufacturer,"manufacturer,point_of_interest,establishment",4.1,13,2026-03-12 21:29:26.696198
22002072184,RAINBOW MODELLING CLAY,"",Australian Private Company,Active,ABR-Search,NSW,2120,2000-01-17 00:00:00,26,true,2000-07-01 00:00:00,true,002072184,S & S WHOLESALE PTY LTD,"","","","",places/ChIJVfIIATyvEmsReD0EIjUR7bc,Rainbow Studios,+61 426 813 391,http://www.rainbowstudios.com.au/,"348 Liverpool St, Darlinghurst NSW 2010, Australia",art_gallery,"art_gallery,jewelry_store,event_venue,service,point_of_interest,store,establishment",5.0,4,2026-03-10 02:23:55.42817
97002901135,AUTOMATION TECHNOLOGIES PTY. LTD.,"",Australian Private Company,Active,ABR-Search,NSW,2097,2000-01-20 00:00:00,26,true,2000-07-01 00:00:00,true,002901135,AUTOMATION TECHNOLOGIES PTY. LTD.,"","","","",places/ChIJUSS33HFVDWsRUYDMQfVyAHw,Automation Technologies Pty Ltd,+61 1300 009 415,http://www.autotechfm.com/,"23 Systrum St, Ultimo NSW 2007, Australia",service,"service,point_of_interest,establishment",0.0,0,2026-03-10 02:19:37.073085
11005434024,Fantech Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3175,2000-01-21 00:00:00,26,true,2000-07-01 00:00:00,true,005434024,FANTECH PTY. LTD.,"","","",https://amtil.com.au/directory/,places/ChIJR_OuPHAR1moRhJeUqb8CLb0,Fantech,+61 3 9554 7845,https://www.fantech.com.au/,"63 Vision St, Dandenong South VIC 3175, Australia",manufacturer,"manufacturer,point_of_interest,establishment",4.6,9,2026-03-10 02:09:21.592159
45051533398,Radius Benders Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,4122,2000-01-21 00:00:00,26,true,2000-07-01 00:00:00,true,051533398,RADIUS BENDERS PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJPX_kpHxbkWsR1-fzzlWmQ5o,Radius Benders Pty Ltd,+61 7 3849 8162,https://radius.com.au/,"3 Dividend St, Mansfield QLD 4122, Australia",manufacturer,"manufacturer,service,point_of_interest,establishment",0.0,0,2026-03-10 02:11:55.562839
61066861943,Novasys Group Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3153,2000-01-23 00:00:00,26,true,2000-07-01 00:00:00,true,066861943,NOVASYS GROUP PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJ0yvbbl881moRFnxDTldleNQ,Novasys Group Pty Ltd,+61 3 9752 3766,http://www.novasys.com.au/,"3/14 Stephenson Rd, Bayswater North VIC 3153, Australia",supplier,"supplier,point_of_interest,manufacturer,store,establishment",5.0,1,2026-03-10 02:11:19.173656
87058229495,ECI Software Solutions,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3123,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,058229495,ECI SOLUTIONS PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJZ-3Y9PI_1moR5IUv3fQBP_U,ECI Software Solutions,+61 3 9210 4700,https://www.ecisolutions.com/en-au/?utm_source=google-my-business&utm_medium=website-button,"Level 2/141 Camberwell Road, Hawthorn East VIC 3123, Australia",point_of_interest,"point_of_interest,establishment",3.1,7,2026-03-10 02:09:07.593073
96004338961,Headland Technology,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3125,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,004338961,HEADLAND TECHNOLOGY PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJH1DJkUVA1moRIMFviKLfBf8,Headland Technology,+61 1300 138 285,http://www.headland.au/,"95 Highbury Rd, Burwood VIC 3125, Australia",point_of_interest,"point_of_interest,establishment",4.6,5,2026-03-10 02:09:56.126145
29006111691,Independent Software Advisors,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3106,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,006111691,GEMINI DOWNS PTY. LTD.,"","","",https://semma.com.au/directory/,places/ChIJM4DKG_dMzWoRIAZqoVbUAco,Think Independent,+61 3 9020 2636,http://www.thinkindependent.com.au/,"Level 17/31 Queen St, Melbourne VIC 3000, Australia",consultant,"consultant,finance,point_of_interest,service,establishment",3.0,2,2026-03-10 02:13:51.987505
53088212686,Value Heat Treatment,Manufacturing,Australian Private Company,Active,AMTIL,VIC,4108,2000-01-28 00:00:00,26,true,2000-07-01 00:00:00,true,088212686,HEAT TREATMENT (QLD) PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJYRwpbW471moR7rbF7f_Wdi8,Value Heat Treatment,+61 3 9762 4771,https://www.valueheattreatment.com.au/,"10 Red Gum Dr, Dandenong South VIC 3175, Australia",point_of_interest,"point_of_interest,establishment",4.5,2,2026-03-10 02:12:50.764871
85008655418,SOFTWARE IMPROVEMENTS PTY LTD,"",Australian Private Company,Active,ABR-Search,NSW,2621,2000-01-31 00:00:00,26,true,2000-07-01 00:00:00,true,008655418,SOFTWARE IMPROVEMENTS PTY LTD,"","","","",places/ChIJ_QShcBZYFmsR3z3fM_geTtk,SOFTWARE IMPROVEMENTS PTY LTD,+61 2 6230 3195,http://dfr-designs.com/,"97 Bankers Rd, Bywong NSW 2621, Australia",point_of_interest,"point_of_interest,establishment",5.0,1,2026-03-10 02:17:04.49985
46089353524,Protube Engineering Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,SA,5067,2000-02-01 00:00:00,26,true,2000-07-01 00:00:00,true,089353524,PROTUBE ENGINEERING PTY LTD,"","","",https://amtil.com.au/directory/,places/ChIJ5Xom1EfJsGoRiVgeBozwWzg,Protube Engineering Pty Ltd,+61 8 8363 1311,https://www.protube.com.au/,"76 North Terrace, Kent Town SA 5067, Australia",point_of_interest,"point_of_interest,establishment",5.0,2,2026-03-10 02:11:50.183583
15073882827,D&M Auto Industrial Spray Painting,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,2000-02-01 00:00:00,26,true,2000-07-01 00:00:00,true,073882827,D & M AUTO INDUSTRIAL SPRAY PAINTING PTY. LTD.,"","","",https://semma.com.au/directory/page/2/,places/ChIJky8-1hZt1moR1pQs03F9vPQ,D&M Auto Spray Painting,+61 3 9587 3497,http://dmauto.com.au/,"29 Industrial Dr, Braeside VIC 3195, Australia",manufacturer,"manufacturer,point_of_interest,service,establishment",4.1,11,2026-03-10 02:14:39.818233
92091253137,FUTURE PLATFORM PTY LIMITED,"",Australian Private Company,Active,ABR-Search,NSW,2095,2000-02-01 00:00:00,26,true,2000-07-01 00:00:00,true,091253137,FUTURE PLATFORM PTY LIMITED,"","","","",places/ChIJHX258ziuEmsRlBI_ILqYlQI,Future Platform,+61 418 662 223,"","45 Lime St, Sydney NSW 2000, Australia",medical_clinic,"point_of_interest,medical_clinic,health,service,establishment",0.0,0,2026-03-10 02:27:05.16308
80003538172,DINNA MATHEMATICAL MODELLING PTY. LIMITED,"",Australian Private Company,Active,ABR-Search,NSW,2022,2000-02-02 00:00:00,26,true,2000-07-01 00:00:00,true,003538172,DINNA MATHEMATICAL MODELLING PTY. LIMITED,"","","","","","","","","","","",0.0,0,2026-03-10 02:23:34.631542
